"state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000","municode","vote_share_2000","codes","margin_2000"
"PE",1,8.21892,"ROLPH EBER CASALE",2877,"PSB","23299-rolph eber casale",1,1,"BELEM DE MARIA",86.012,"PE_BELEM DE MARIA",74.286
"PE",1,8.02407,"FERNANDO DO REGO BARROS",2154,"PFL","23302-fernando do rego barros",1,1,"JAQUEIRA",64.814,"PE_JAQUEIRA",29.628
"PE",0,-7.87032,"ANIBAL DE CARVALHO SA RORIZ",4419,"PMDB","23310-anibal de carvalho sa roriz",1,1,"BELEM DE SAO FRANCISCO",51.084,"PE_BELEM DE SAO FRANCISCO",2.16800000000001
"PE",1,29.9126,"GENI LEMOS DE VASCONCELOS",3418,"PPB","23329-geni lemos de vasconcelos",1,0,"SANTA FILOMENA",49.779,"PE_SANTA FILOMENA",-0.441999999999993
"PE",0,-1.57605,"JOAO MENDONCA BEZERRA JATOBA",15269,"PFL","23337-joao mendonca bezerra jatoba",1,1,"BELO JARDIM",54.483,"PE_BELO JARDIM",10.052
"PE",1,41.6366,"GENIVAL FERREIRA DE ARAUJO",3929,"PSDB","23353-genival ferreira de araujo",1,1,"BETANIA",81.956,"PE_BETANIA",63.912
"PE",0,-1.48924,"MARCONE DE LIMA BORBA",11609,"PDT","23370-marcone de lima borba",1,0,"BEZERROS",48.014,"PE_BEZERROS",-3.97199999999999
"PE",1,1.48924,"LUCAS CARNEIRO SOARES CARDOSO",11960,"PFL","23370-lucas carneiro soares cardoso",1,1,"BEZERROS",51.986,"PE_BEZERROS",3.97199999999999
"PE",1,15.9745,"BRIVALDO PEREIRA ALVES",7721,"PPB","23396-brivaldo pereira alves",1,1,"BODOCO",58.791,"PE_BODOCO",18.228
"PE",0,-5.80386,"WALMIR SOARES DA SILVA",8683,"PFL","23418-walmir soares da silva",1,0,NA,NA,NA,NA
"PE",1,5.80386,"GERVASIO CAVALCANTE DE MATOS",9753,"PSB","23418-gervasio cavalcante de matos",1,0,NA,NA,NA,NA
"PE",1,2.58465,"FABIANO JOSE DE OLIVEIRA RUFINO RIBEIRO",7680,"PFL","23434-fabiano jose de oliveira rufino ribeiro",1,1,"BOM JARDIM",59.348,"PE_BOM JARDIM",18.696
"PE",0,-0.675486,"JOSE LAERCIO VIANA DE QUEIROZ",7058,"PSB","23450-jose laercio viana de queiroz",1,1,"BONITO",52.446,"PE_BONITO",4.892
"PE",1,0.675486,"MARIA LUCIA HERACLIO DE SOUZA LIMA",7154,"PMDB","23450-maria lucia heraclio de souza lima",1,0,"BONITO",47.554,"PE_BONITO",-4.892
"PE",1,28.8075,"SANDOVAL CADENGUE DE SANTANA",3937,"PSB","23477-sandoval cadengue de santana",1,1,"BREJAO",57.485,"PE_BREJAO",14.97
"PE",1,28.3684,"JOSE VANDERLEI DA SILVA",2620,"PFL","23493-jose vanderlei da silva",1,1,"BREJINHO",100,"PE_BREJINHO",NA
"PE",1,7.04225,"JOSE INACIO DA SILVA",7220,"PFL","23515-jose inacio da silva",1,0,"BREJO DA MADRE DE DEUS",42.802,"PE_BREJO DA MADRE DE DEUS",-14.396
"PE",0,-1.5715,"ARQUIMEDES GUEDES VALENCA",8800,"PMDB","23558-arquimedes guedes valenca",1,1,NA,NA,NA,NA
"PE",1,1.5715,"BLESMAN MODESTO DE ALBUQUERQUE",9081,"PSB","23558-blesman modesto de albuquerque",1,0,NA,NA,NA,NA
"PE",0,-8.23346,"LUIZ CABRAL DE OLIVEIRA FILHO",22932,"PPB","23574-luiz cabral de oliveira filho",1,0,"CABO",40.934,"PE_CABO",-18.132
"PE",1,8.23346,"ELIAS GOMES DA SILVA",27047,"PSB","23574-elias gomes da silva",1,1,"CABO",59.066,"PE_CABO",18.132
"PE",1,11.2227,"EDGAR DE ALENCAR CALDAS CAVALCANTI",7418,"PFL","23590-edgar de alencar caldas cavalcanti",1,0,"CABROBO",49.151,"PE_CABROBO",-1.69799999999999
"PE",0,-10.8766,"ROBERTO GILSON RAIMUNDO",2872,"PFL","23612-roberto gilson raimundo",1,1,"CACHOEIRINHA",42.465,"PE_CACHOEIRINHA",8.469
"PE",1,10.0131,"MANOEL ALVES DE OLIVEIRA FILHO",4609,"PMDB","23698-manoel alves de oliveira filho",1,1,"CAMOCIM DE SAO FELIX",54.206,"PE_CAMOCIM DE SAO FELIX",8.41200000000001
"PE",0,-1.31165,"JOSE TRIGUEIRO DA SILVA",1881,"PDT","23710-jose trigueiro da silva",1,0,"CAMUTANGA",47.954,"PE_CAMUTANGA",-3.795
"PE",0,-1.61248,"CARLOS ALBERTO GOMES DE AMORIM",5583,"PSB","23736-carlos alberto gomes de amorim",1,1,"CANHOTINHO",54.431,"PE_CANHOTINHO",9.675
"PE",0,-2.54025,"MAURILIO RODOLFO TENORIO DE SOUZA",4086,"PPB","23752-maurilio rodolfo tenorio de souza",1,1,"CAPOEIRAS",57.152,"PE_CAPOEIRAS",14.304
"PE",0,-21.7976,"EDIVILSON FARIAS ALVES",10119,"PMDB","23795-edivilson farias alves",1,0,"CARPINA",22.252,"PE_CARPINA",-30.093
"PE",1,21.7976,"JOAQUIM PINTO LAPA FILHO",15760,"PSB","23795-joaquim pinto lapa filho",1,1,"CARPINA",52.345,"PE_CARPINA",26.942
"PE",0,-1.50008,"ANTONIO GERALDO RODRIGUES DA SILVA",45012,"PFL","23817-antonio geraldo rodrigues da silva",1,1,"CARUARU",53.702,"PE_CARUARU",9.776
"PE",1,17.3325,"OTACILIO ALVES CORDEIRO",7856,"PSB","23833-otacilio alves cordeiro",1,0,"CATENDE",45.639,"PE_CATENDE",-6.85899999999999
"PE",1,1.37783,"MARINALDO MARIANO MASSENA",3311,"PSB","23876-marinaldo mariano massena",1,1,"CHA DE ALEGRIA",58.481,"PE_CHA DE ALEGRIA",16.962
"PE",0,-11.3459,"IVALDO LOURENCO DE QUEIROZ",4153,"PSDB","23892-ivaldo lourenco de queiroz",1,0,NA,NA,NA,NA
"PE",1,11.3459,"DANIEL ALVES DE LIMA",5216,"PDT","23892-daniel alves de lima",1,1,NA,NA,NA,NA
"PE",0,-1.91646,"JOSE ZANE BALBINO DE MORAES",3992,"PMDB","23914-jose zane balbino de moraes",1,1,"CONDADO",41.082,"PE_CONDADO",12.38
"PE",1,12.3779,"NIVALDO LUCIO DE OLIVEIRA",4199,"PSDB","23930-nivaldo lucio de oliveira",1,1,"CORRENTES",54.369,"PE_CORRENTES",8.738
"PE",0,-7.07895,"ERNANE SOARES BORBA",3531,"PFL","23957-ernane soares borba",1,1,"CORTES",74.031,"PE_CORTES",48.062
