"vote_gop","state_abb","income","mar_gay","gun_law"
1,"MA",4,0,0
0,"MD",3,0,0
0,"TX",3,0,1
1,"MD",4,1,1
1,"TN",2,1,0
1,"AZ",5,1,1
1,"PA",3,1,0
1,"VA",4,1,0
0,"WI",4,0,0
0,"PA",4,0,0
1,"LA",3,1,0
1,"DE",2,1,0
1,"WA",5,1,0
1,"TX",4,0,0
1,"KY",2,1,0
1,"FL",2,0,0
0,"PA",5,0,0
0,"TX",1,1,0
0,"WA",3,1,0
1,"TX",5,1,0
1,"MI",5,1,1
0,"RI",5,0,0
1,"TX",1,1,0
0,"FL",2,1,0
1,"SC",4,1,0
0,"ME",4,0,0
0,"MA",4,0,0
1,"SC",5,1,1
0,"OH",4,0,0
0,"FL",5,0,0
0,"VA",4,0,0
0,"ND",3,0,0
1,"NJ",5,1,0
0,"IN",3,0,0
0,"OR",3,0,0
0,"AR",5,0,0
0,"IN",4,1,0
0,"MD",3,1,0
0,"MI",2,0,0
0,"NC",5,0,0
0,"NH",1,0,0
0,"FL",2,0,0
0,"CA",4,0,0
1,"CA",2,1,0
1,"UT",1,1,0
1,"AZ",3,0,0
0,"IN",5,0,0
1,"NJ",5,1,0
1,"MA",2,1,0
0,"CO",3,0,0
1,"FL",2,1,0
0,"MD",3,0,0
0,"CA",5,0,0
0,"CA",3,0,0
1,"CO",5,1,0
0,"FL",2,0,0
0,"MN",3,0,0
1,"GA",3,0,0
1,"MO",3,1,0
0,"PA",3,1,0
1,"CO",3,1,1
1,"MT",3,1,0
0,"TN",3,1,0
0,"FL",1,1,0
0,"IL",5,0,0
1,"NJ",4,1,0
0,"NJ",2,0,0
0,"WI",4,0,0
1,"CA",4,1,0
1,"CT",4,0,0
0,"IL",3,1,1
0,"MO",4,0,0
1,"AZ",2,1,0
0,"NV",4,1,0
0,"NJ",3,0,1
1,"OK",5,1,1
0,"MA",3,0,0
1,"PA",5,0,0
0,"IL",5,0,0
0,"AZ",5,0,0
1,"TX",5,1,0
0,"MI",5,0,0
0,"NJ",5,0,0
0,"TN",2,1,0
0,"GA",4,0,0
1,"IA",5,1,1
1,"SC",5,1,0
1,"TX",5,1,0
1,"ID",2,1,0
0,"OR",3,0,0
0,"CA",2,0,0
0,"PA",3,0,0
1,"CA",5,1,1
1,"FL",5,1,0
1,"NY",2,1,1
1,"KS",4,1,1
1,"MA",2,1,0
1,"FL",4,1,0
1,"MN",2,1,0
1,"TX",3,1,1
0,"NY",4,0,0
1,"PA",4,1,0
0,"MA",4,0,0
0,"CA",5,0,0
1,"OK",4,1,0
0,"NC",4,0,0
0,"IL",4,0,0
0,"MA",4,0,0
0,"MI",3,0,0
0,"MI",2,0,0
0,"VA",5,0,0
1,"MI",3,1,1
1,"OH",1,1,1
0,"CA",5,0,0
0,"CA",3,0,0
0,"VA",3,0,0
1,"IL",2,1,1
1,"PA",5,1,1
1,"SC",5,1,0
1,"NH",2,1,0
1,"TX",5,1,1
0,"CA",3,0,0
1,"FL",3,1,0
1,"MN",5,1,0
0,"MO",3,0,0
0,"FL",4,0,0
1,"TX",5,0,0
0,"SC",3,1,0
1,"FL",4,0,0
0,"AR",2,0,0
0,"MD",5,0,0
1,"CA",5,1,0
0,"FL",1,0,0
0,"NJ",4,0,0
1,"CA",3,1,1
1,"NV",4,1,1
1,"IL",4,0,0
1,"FL",3,0,0
0,"TX",3,1,0
0,"CO",2,0,0
1,"TX",1,1,0
1,"MI",3,1,0
0,"PA",4,0,0
0,"OH",3,0,0
1,"KY",1,1,1
0,"PA",4,0,0
0,"CT",2,0,0
1,"MI",5,1,0
0,"IL",5,0,0
1,"TX",3,1,0
0,"CA",5,0,0
1,"IN",5,1,0
0,"WA",3,0,0
1,"PA",1,0,0
0,"AZ",2,0,0
1,"CA",4,0,0
1,"TN",2,1,0
1,"FL",2,1,0
1,"NY",4,1,0
1,"OH",2,1,0
0,"GA",2,1,0
0,"NY",2,0,0
0,"WA",2,1,0
0,"NY",3,0,0
0,"AK",5,0,0
1,"NC",3,1,0
0,"IL",3,0,0
1,"WA",3,1,0
1,"CA",3,1,1
0,"NE",2,0,0
1,"VA",3,1,1
1,"TX",3,1,0
0,"SC",3,1,0
0,"AR",4,0,0
0,"GA",5,0,0
0,"AL",3,0,0
0,"IL",5,0,0
0,"NH",3,0,0
1,"LA",4,1,0
1,"TX",4,1,1
1,"GA",2,1,0
1,"IA",2,1,1
0,"FL",2,0,0
1,"AL",3,1,0
0,"CA",3,0,0
0,"NY",5,0,0
1,"AK",4,1,0
1,"WI",3,1,0
1,"VA",5,1,0
1,"OH",2,1,0
1,"NY",5,1,0
1,"FL",4,1,0
1,"TX",4,1,0
1,"PA",5,1,0
1,"GA",5,1,1
0,"VA",5,0,0
0,"CO",3,0,0
1,"TX",2,1,1
0,"NC",1,0,0
0,"MA",3,0,0
0,"NC",4,0,0
0,"CA",5,0,0
1,"GA",5,1,0
0,"VT",4,0,0
0,"NY",5,0,0
0,"FL",4,1,0
1,"VT",4,0,1
0,"PA",5,0,0
0,"TX",1,0,0
1,"LA",4,1,0
1,"PA",4,1,0
0,"NJ",4,0,0
0,"FL",4,0,0
